Metric,Value
Top-5 feature agreement,0.6
Top-5 rank agreement,0.6
Top-10 feature agreement,0.9
Top-10 rank agreement,0.3
Spearman rho (all features),0.775
Spearman p-value,5.491e-06
Kendall tau (all features),0.62
Kendall p-value,3.571e-06
