,Accuracy,F1_weighted,F1_macro,MCC,Lat_seq_us,Lat_par_us
Baseline Ensemble,0.8788,0.8899,0.5024,0.6585,2.3598,2.3598
LightGBM (reference),0.9977,0.998,0.8678,0.9932,7.242,7.242
CatBoost,0.9941,0.9953,0.8223,0.9832,0.3207,0.3207
ExtraTrees,0.9982,0.9983,0.8989,0.9948,3.0235,3.0235
EBM,0.9934,0.995,0.8213,0.9813,0.7051,0.7051
Voting (CB+ET+EBM),0.9963,0.9971,0.8494,0.9893,4.0493,3.0235
Stacking (CB+ET+EBM),0.9983,0.9984,0.8982,0.9951,4.1922,3.1664
Stacking + Thresholds,0.9984,0.9984,0.8974,0.9953,4.1922,3.1664
