Fold,InFold_Acc,Global_Acc,InFold_MacroF1,Global_MacroF1,FeatureOverlap
1,0.847707354248698,0.8426497927323534,0.6775924743543292,0.6724265820272717,0.92
2,0.8488735956029236,0.8457559206955879,0.6709629501665436,0.6682127785217192,0.96
3,0.8478112767456093,0.844150895465515,0.6849175488510412,0.675548540943996,0.92
4,0.8468413334411048,0.8430192949435932,0.6732321768391129,0.6666078816946077,0.96
5,0.8483868732823723,0.8440105309346204,0.6818349244989328,0.6738362161221236,0.96
