Fold,InFold_Acc,Global_Acc,InFold_MacroF1,Global_MacroF1,FeatureOverlap
1,0.8117589987387213,0.8130396817696711,0.5717352220523189,0.5675948740845695,1.0
2,0.8132919375181915,0.8137770447268846,0.5778444176293869,0.5822159105869521,1.0
3,0.816357815077132,0.8166682836906957,0.588609650905672,0.5851823332642379,1.0
4,0.8122792719369737,0.8123956999262623,0.5915700375859226,0.5972104037009841,1.0
5,0.8141809290953546,0.814374975744169,0.5730193358573693,0.576290259770811,1.0
