Class,P (SMOTE),R (SMOTE),F1 (SMOTE),P (ADASYN),R (ADASYN),F1 (ADASYN)
Web Attack - Brute Force,0.588,0.565,0.576,0.61,0.598,0.604
Web Attack - XSS,0.247,0.554,0.342,0.267,0.477,0.343
